Jackpot Size,Draw Sales,Jackpot Winners,Runners Up,Tier 1,Tier 2,Tier 3,Total Winners
12032594,28309662,0,1,72,5358,135673,141104
9261078,15505680,0,1,68,4454,87572,92095
7743072,23125556,0,0,57,3594,87171,90822
5479080,13791226,0,0,31,2457,65197,67685
4128919,21745852,0,1,44,3230,79936,83211
2000000,12700000,0,2,24,1871,48204,50101
20000000,24000000,0,0,75,5207,122670,127952
12980180,20246118,0,1,50,3799,95527,99377
10998085,23553780,0,0,62,4587,111241,115890
8692170,14682492,0,0,44,3362,78079,81485
7254754,22014014,0,2,49,3316,87231,90598
5099582,13274586,0,4,92,6168,111557,117821
3800000,21000000,0,1,45,3479,80648,84173
8996243,14720246,1,1,30,3465,79742,83239
7555131,22034944,0,0,60,4070,99601,103731
5397910,13943534,0,1,22,2104,49444,51571
4032838,20764434,0,0,159,8574,159253,167986
2000000,15500000,0,3,25,2201,52763,54992
11496937,25518294,0,0,64,3933,98734,102731
8998696,14627294,0,2,67,3370,76162,79601
7566684,22270164,0,1,48,3578,89983,93610
5386435,13630694,0,1,42,3042,69394,72479
4051990,20960062,0,3,57,4312,100374,104746
2000000,12700000,0,1,26,2178,53674,55879
20000000,24000000,0,3,141,8810,189067,198021
9041705,15299274,0,1,40,2348,57063,59452
7543906,22754730,0,1,55,3877,100582,104515
5316218,13564800,0,1,90,5166,100170,105427
3988224,20308724,0,0,46,3778,103096,106920
2000000,12700000,0,1,35,1868,50467,52371
10770647,22918560,1,3,103,7556,154421,162084
8526920,13770726,0,0,41,2844,71905,74790
7178766,21203576,0,2,32,2696,66649,69379
5102936,13308846,0,3,30,1797,46404,48234
3800000,21000000,0,2,62,3760,97740,101564
5139353,13680828,1,1,32,2300,55247,57581
3800000,21000000,0,1,73,4851,120313,125238
2000000,12700000,1,7,168,6630,111139,117945
11499676,25449652,0,2,60,5311,128703,134076
9008155,14908908,0,0,48,3392,79154,82594
7548573,21705782,0,1,61,4511,118894,123467
5423577,13760122,0,1,43,2553,63562,66159
4076461,21210020,0,3,54,3049,73913,77019
2000000,12700000,0,0,56,3557,82255,85868
7500000,21000000,2,4,118,7090,154785,161999
12867635,19458018,0,1,58,3124,75781,78964
10962695,23056916,0,5,86,6758,143828,150677
8705423,14810818,0,1,30,2845,69200,72076
7255444,21429274,0,1,70,4930,118581,123582
5157518,13866374,0,0,28,1928,44544,46500
3800000,21000000,0,3,116,7347,152296,159762
2000000,12700000,1,0,95,6092,117826,124014
7484179,21967590,1,1,76,5614,129510,135202
5333552,13487844,0,6,110,5651,105920,111687
4013092,20562738,0,0,29,3104,81156,84289
2000000,12700000,0,0,32,2490,61390,63912
10848734,23413136,1,1,51,4413,112695,117161
8556588,14865720,0,0,63,3804,84530,88397
7101234,20850040,0,0,90,5674,129222,134986
5060015,12870430,0,0,29,2154,53368,55551
3800000,21000000,0,3,84,4441,102352,106880
12384648,18901470,0,1,68,3988,95166,99223
10534194,21991604,0,2,90,6822,147144,154058
8381216,14041706,0,1,29,2349,62328,64707
7006533,20146752,0,0,62,3600,92888,96550
5034166,12606394,0,1,29,1835,45209,47074
3800000,21000000,0,0,46,3354,88796,92196
11735036,16610102,0,0,58,4568,98123,102749
10108907,20912236,0,1,65,5079,114448,119593
