Sales Order,Sales Above or Below Average,Sales (m),Sales,Draw Number,Draw Day,Draw Type,Time,Balls,Jackpot Size (m),Jackpot Size,Jackpot Winners,Jackpot Won (with num),Jackpot Won,Jackpot Winning Tickets,Total Winners (m),Total Winners,Number of Winners Above or Below Average
1,Below Average,20.144991,20144991,1305,Tuesday,Weekday (Tues),24-Mar-20,7  12  26  30  33  -  10  11,15.6213,15621300,0,No,No,0,0.84388,843880,Below Average
2,Below Average,21.554075,21554075,1307,Tuesday,Weekday (Tues),31-Mar-20,12  17  24  30  36  -  01  09,27.30865,27308650,0,No,No,0,0.903675,903675,Below Average
3,Below Average,22.057948,22057948,1313,Tuesday,Weekday (Tues),21-Apr-20,10  11  14  23  28  -  06  08,15.0263,15026300,0,No,No,0,1.064251,1064251,Below Average
4,Below Average,23.545017,23545017,1309,Tuesday,Weekday (Tues),07-Apr-20,4  5  14  33  48  -  07  12,40.506751,40506751,0,No,No,0,0.899399,899399,Below Average
5,Below Average,23.724858,23724858,1315,Tuesday,Weekday (Tues),28-Apr-20,15  23  26  28  32  -  01  05,28.167968,28167968,0,No,No,0,1.006798,1006798,Below Average
6,Below Average,23.843223,23843223,1311,Tuesday,Weekday (Tues),14-Apr-20,6  29  34  35  40  -  04  11,51.538058,51538058,0,No,No,0,0.802806,802806,Below Average
7,Below Average,26.642797,26642797,1317,Tuesday,Weekday (Tues),05-May-20,2  10  22  27  41  -  02  03,42.596857,42596857,0,No,No,0,1.124062,1124062,Below Average
8,Below Average,27.562926,27562926,1306,Friday,Weekend (Fri),27-Mar-20,11  14  27  41  46  -  02  03,22.095531,22095531,0,No,No,0,1.049548,1049548,Below Average
9,Below Average,28.205637,28205637,1303,Tuesday,Weekday (Tues),17-Mar-20,5  7  8  16  20  -  02  12,57.86967,57869670,1,Yes (1),Yes (Single Ticket),1,1.271942,1271942,Below Average
10,Below Average,28.828629,28828629,1319,Tuesday,Weekday (Tues),12-May-20,9  16  29  37  39  -  04  11,56.472701,56472701,0,No,No,0,1.129528,1129528,Below Average
11,Below Average,29.068637,29068637,1304,Friday,Weekend (Fri),20-Mar-20,3  9  20  34  40  -  06  12,15.6961,15696100,1,Yes (1),Yes (Single Ticket),1,1.095514,1095514,Below Average
12,Below Average,29.528525,29528525,1308,Friday,Weekend (Fri),03-Apr-20,16  19  34  46  50  -  02  06,34.546128,34546128,0,No,No,0,1.074084,1074084,Below Average
13,Below Average,29.646765,29646765,999,Tuesday,Weekday (Tues),18-Apr-17,17  22  31  38  45  -  05  12,20.624201,20624201,0,No,No,0,1.159706,1159706,Below Average
14,Below Average,29.666277,29666277,1321,Tuesday,Weekday (Tues),19-May-20,5  25  32  37  43  -  06  07,15.1708,15170800,0,No,No,0,1.085982,1085982,Below Average
15,Below Average,29.74279,29742790,1314,Friday,Weekend (Fri),24-Apr-20,1  5  19  21  28  -  04  07,22.310697,22310697,0,No,No,0,1.424425,1424425,Below Average
16,Below Average,29.876708,29876708,1325,Tuesday,Weekday (Tues),02-Jun-20,10  12  22  26  49  -  07  11,15.1487,15148700,0,No,No,0,1.246757,1246757,Below Average
17,Below Average,30.577404,30577404,1033,Tuesday,Weekday (Tues),15-Aug-17,10  14  30  35  46  -  04  10,22.117219,22117219,1,Yes (1),Yes (Single Ticket),1,1.085088,1085088,Below Average
18,Below Average,31.195213,31195213,1129,Tuesday,Weekday (Tues),17-Jul-18,4  6  27  48  50  -  01  11,15.1266,15126600,0,No,No,0,1.200506,1200506,Below Average
19,Below Average,31.244183,31244183,1123,Tuesday,Weekday (Tues),26-Jun-18,15  16  20  34  50  -  04  07,21.730843,21730843,0,No,No,0,1.191611,1191611,Below Average
20,Below Average,31.245095,31245095,983,Tuesday,Weekday (Tues),21-Feb-17,13  19  41  45  49  -  03  04,14.3837,14383700,0,No,No,0,1.226656,1226656,Below Average
21,Below Average,31.312678,31312678,1316,Friday,Weekend (Fri),01-May-20,19  20  38  45  47  -  02  06,36.22869,36228690,0,No,No,0,1.159354,1159354,Below Average
22,Below Average,31.462558,31462558,1329,Tuesday,Weekday (Tues),16-Jun-20,4  9  11  17  39  -  02  10,15.2456,15245600,0,No,No,0,1.422794,1422794,Below Average
23,Below Average,31.550321,31550321,1107,Tuesday,Weekday (Tues),01-May-18,6  15  17  42  48  -  04  06,21.805469,21805469,0,No,No,0,1.261262,1261262,Below Average
24,Below Average,31.680558,31680558,1323,Tuesday,Weekday (Tues),26-May-20,4  9  14  21  27  -  04  06,16.530706,16530706,2,Yes (2),Yes (Multiple Tickets),2+,1.479396,1479396,Below Average
25,Below Average,31.716791,31716791,961,Tuesday,Weekday (Tues),06-Dec-16,1  7  11  27  45  -  04  09,14.3922,14392200,0,No,No,0,1.56226,1562260,Below Average
26,Below Average,31.7302,31730200,1071,Tuesday,Weekday (Tues),26-Dec-17,4  17  30  43  44  -  02  10,21.951423,21951423,0,No,No,0,1.229515,1229515,Below Average
27,Below Average,31.799224,31799224,1119,Tuesday,Weekday (Tues),12-Jun-18,7  21  23  36  38  -  06  08,14.9549,14954900,0,No,No,0,1.372593,1372593,Below Average
28,Below Average,31.826643,31826643,1213,Tuesday,Weekday (Tues),07-May-19,7  20  26  32  47  -  02  11,21.438454,21438454,1,Yes (1),Yes (Single Ticket),1,1.2743,1274300,Below Average
29,Below Average,31.886384,31886384,1165,Tuesday,Weekday (Tues),20-Nov-18,6  19  39  45  48  -  07  12,15.13,15130000,0,No,No,0,1.137225,1137225,Below Average
