Draw Number,Draw Day,Sales for,Time,Balls,Jackpot Size (m),Jackpot Size,Jackpot Above or Below Average,Draw Sales (m),Draw Sales,Sales Above or Below Average,Jackpot Winners,Jackpot Won (with num),Total Winners (m),Total Winners,Number of Winners Above or Below Average,Averages,Average
1378,Friday,Fridays,04-Dec-20,14  20  27  34  38  -  01  11,180.8,180800000,Above,118.873045,118873045,Above,0,No,4.563135,4563135,Above,Both Above,All Above
1377,Tuesday,Tuesdays,01-Dec-20,14  20  29  47  49  -  04  12,160.906372,160906372,Above,67.973828,67973828,Above,0,No,2.42081,2420810,Above,Both Above,All Above
1376,Friday,Fridays,27-Nov-20,2  5  8  14  16  -  08  09,146.729731,146729731,Above,80.86539,80865390,Above,0,No,3.453808,3453808,Above,Both Above,All Above
1375,Tuesday,Tuesdays,24-Nov-20,25  33  38  42  50  -  08  12,128.449942,128449942,Above,60.342584,60342584,Above,0,No,2.155481,2155481,Above,Both Above,All Above
1374,Friday,Fridays,20-Nov-20,28  29  39  48  50  -  05  07,116.103,116103000,Above,85.87217,85872170,Above,0,No,3.095558,3095558,Above,Both Above,All Above
1373,Tuesday,Tuesdays,17-Nov-20,16  19  25  30  44  -  02  06,69.354137,69354137,Above,41.863533,41863533,Below,0,No,1.717073,1717073,Below,Both Below,Jackpot Only
1372,Friday,Fridays,13-Nov-20,1  5  17  28  31  -  01  10,60.684475,60684475,Above,61.209836,61209836,Above,0,No,2.622372,2622372,Above,Both Above,All Above
1371,Tuesday,Tuesdays,10-Nov-20,3  19  29  32  38  -  05  12,45.088804,45088804,Below,38.25864,38258640,Below,0,No,1.49607,1496070,Below,Both Below,All Below
1370,Friday,Fridays,06-Nov-20,7  12  37  40  50  -  01  02,36.006084,36006084,Below,48.158499,48158499,Below,0,No,1.818077,1818077,Below,Both Below,All Below
1369,Tuesday,Tuesdays,03-Nov-20,5  7  18  20  30  -  06  07,23.844506,23844506,Below,34.218824,34218824,Below,0,No,1.573763,1573763,Below,Both Below,All Below
1368,Friday,Fridays,30-Oct-20,12  16  20  21  28  -  03  09,15.3017,15301700,Below,45.022113,45022113,Below,0,No,1.977041,1977041,Above,Wins Only,Wins Only
1367,Tuesday,Tuesdays,27-Oct-20,13  15  28  32  44  -  03  12,79.315198,79315198,Above,42.143808,42143808,Below,1,Yes (1),1.686057,1686057,Below,Both Below,Jackpot Only
1366,Friday,Fridays,23-Oct-20,10  15  19  21  23  -  03  12,70.979568,70979568,Above,54.739803,54739803,Above,0,No,2.488279,2488279,Above,Both Above,All Above
1365,Tuesday,Tuesdays,20-Oct-20,5  6  15  37  42  -  03  04,59.778232,59778232,Above,39.835091,39835091,Below,0,No,1.511168,1511168,Below,Both Below,Jackpot Only
1364,Friday,Fridays,16-Oct-20,15  33  38  40  50  -  03  06,49.383832,49383832,Below,51.286432,51286432,Above,0,No,1.80284,1802840,Below,Sales Only,Sales Only
