Sales Order,Sales Above or Below Average,Draw Sales (m),Draw Sales,Draw Number,Draw Day,Sales for,Time,Balls,Jackpot Size (m),Jackpot Size,Jackpot Winners,Jackpot Won (with num),Jackpot Won,Total Winners (ths),Total Winners,Number of Winners Above or Below Average
37,Below Average,11.646242,11646242,2531,Wednesday,Weekday (Wed),25-Mar-20,11  24  25  39  53  57  -  9,4.940167,4940167,0,No,No,47.338,47338,Below Average
38,Below Average,12.108756,12108756,2327,Wednesday,Weekday (Wed),11-Apr-18,21  25  32  52  56  59  -  28,1.795273,1795273,0,No,No,41.388,41388,Below Average
39,Below Average,12.23004,12230040,2319,Wednesday,Weekday (Wed),14-Mar-18,7  19  38  45  47  53  -  15,1.813255,1813255,0,No,No,61.847,61847,Below Average
40,Below Average,12.23744,12237440,2323,Wednesday,Weekday (Wed),28-Mar-18,2  6  7  15  52  54  -  45,1.855785,1855785,0,No,No,62.255,62255,Below Average
41,Below Average,12.252494,12252494,2341,Wednesday,Weekday (Wed),30-May-18,4  5  8  26  32  39  -  16,1.816584,1816584,0,No,No,81.464,81464,Below Average
42,Below Average,12.323308,12323308,2357,Wednesday,Weekday (Wed),25-Jul-18,5  19  20  23  30  43  -  6,1.827083,1827083,0,No,No,90.716,90716,Above Average
43,Below Average,12.358178,12358178,2329,Wednesday,Weekday (Wed),18-Apr-18,4  11  21  39  41  59  -  58,6.265709,6265709,0,No,No,65.364,65364,Below Average
44,Below Average,12.513248,12513248,2287,Wednesday,Weekday (Wed),22-Nov-17,2  16  17  27  36  37  -  42,1.855244,1855244,0,No,No,85.323,85323,Below Average
45,Below Average,12.554046,12554046,2259,Wednesday,Weekday (Wed),16-Aug-17,7  17  28  43  44  45  -  54,1.903798,1903798,1,Yes (1),Yes (Single Ticket),91.347,91347,Below Average
46,Below Average,12.592688,12592688,2337,Wednesday,Weekday (Wed),16-May-18,4  22  26  32  48  54  -  57,1.909658,1909658,0,No,No,60.484,60484,Below Average
47,Below Average,12.603304,12603304,2367,Wednesday,Weekday (Wed),29-Aug-18,19  23  30  50  51  54  -  55,5.055854,5055854,0,No,No,44.818,44818,Below Average
48,Below Average,12.606394,12606394,2537,Wednesday,Weekday (Wed),15-Apr-20,25  37  38  43  54  57  -  17,5.034166,5034166,0,No,No,47.074,47074,Below Average
49,Below Average,12.639134,12639134,2343,Wednesday,Weekday (Wed),06-Jun-18,12  22  31  35  42  58  -  55,6.501413,6501413,0,No,No,61.38,61380,Below Average
50,Below Average,12.687858,12687858,2339,Wednesday,Weekday (Wed),23-May-18,1  15  17  32  36  45  -  5,6.438596,6438596,0,No,No,68.694,68694,Below Average
51,Below Average,12.7,12700000,2391,Wednesday,Weekday (Wed),21-Nov-18,24  31  35  42  46  53  -  9,2,2000000,1,Yes (1),Yes (Single Ticket),51.702,51702,Below Average
52,Below Average,12.7,12700000,2393,Wednesday,Weekday (Wed),28-Nov-18,36  39  45  46  48  52  -  38,2,2000000,0,No,No,44.528,44528,Below Average
53,Below Average,12.7,12700000,2397,Wednesday,Weekday (Wed),12-Dec-18,3  22  31  46  51  59  -  53,2,2000000,0,No,No,48.357,48357,Below Average
54,Below Average,12.7,12700000,2401,Wednesday,Weekday (Wed),26-Dec-18,7  14  35  45  54  58  -  1,2,2000000,0,No,No,58.396,58396,Below Average
55,Below Average,12.7,12700000,2425,Wednesday,Weekday (Wed),20-Mar-19,2  19  35  53  56  58  -  12,2,2000000,0,No,No,44.987,44987,Below Average
56,Below Average,12.7,12700000,2431,Wednesday,Weekday (Wed),10-Apr-19,20  22  36  42  48  49  -  30,2,2000000,0,No,No,63.42,63420,Below Average
57,Below Average,12.7,12700000,2437,Wednesday,Weekday (Wed),01-May-19,10  12  23  29  35  57  -  9,2,2000000,0,No,No,73.439,73439,Below Average
58,Below Average,12.7,12700000,2443,Wednesday,Weekday (Wed),22-May-19,7  27  31  36  37  50  -  18,2,2000000,0,No,No,64.123,64123,Below Average
59,Below Average,12.7,12700000,2445,Wednesday,Weekday (Wed),29-May-19,3  15  27  32  46  53  -  57,2,2000000,1,Yes (1),Yes (Single Ticket),61.919,61919,Below Average
60,Below Average,12.7,12700000,2447,Wednesday,Weekday (Wed),05-Jun-19,11  20  23  32  33  56  -  25,2,2000000,1,Yes (1),Yes (Single Ticket),59.512,59512,Below Average
61,Below Average,12.7,12700000,2497,Wednesday,Weekday (Wed),27-Nov-19,7  16  22  39  48  55  -  50,2,2000000,0,No,No,67.566,67566,Below Average
62,Below Average,12.7,12700000,2503,Wednesday,Weekday (Wed),18-Dec-19,13  15  36  44  50  56  -  45,2,2000000,1,Yes (1),Yes (Single Ticket),51.275,51275,Below Average
63,Below Average,12.7,12700000,2511,Wednesday,Weekday (Wed),15-Jan-20,15  25  50  52  54  55  -  28,2,2000000,0,No,No,40.334,40334,Below Average
64,Below Average,12.7,12700000,2517,Wednesday,Weekday (Wed),05-Feb-20,20  31  39  42  43  48  -  1,2,2000000,1,Yes (1),Yes (Single Ticket),56.797,56797,Below Average
65,Below Average,12.7,12700000,2521,Wednesday,Weekday (Wed),19-Feb-20,7  18  21  27  28  48  -  10,2,2000000,0,No,No,109.827,109827,Above Average
66,Below Average,12.7,12700000,2527,Wednesday,Weekday (Wed),11-Mar-20,10  39  45  46  52  54  -  12,2,2000000,0,No,No,45.835,45835,Below Average
67,Below Average,12.7,12700000,2529,Wednesday,Weekday (Wed),18-Mar-20,3  7  11  19  27  52  -  5,1,1000000,2,Yes (2),Yes (Multiple Tickets),100.747,100747,Above Average
68,Below Average,12.7,12700000,2547,Wednesday,Weekday (Wed),20-May-20,7  24  26  37  40  57  -  44,2,2000000,0,No,No,63.912,63912,Below Average
69,Below Average,12.7,12700000,2551,Wednesday,Weekday (Wed),03-Jun-20,1  2  5  11  14  33  -  48,2,2000000,1,Yes (1),Yes (Single Ticket),124.014,124014,Above Average
70,Below Average,12.7,12700000,2559,Wednesday,Weekday (Wed),01-Jul-20,1  8  24  27  29  55  -  4,2,2000000,0,No,No,85.868,85868,Below Average
71,Below Average,12.7,12700000,2565,Wednesday,Weekday (Wed),22-Jul-20,2  7  11  23  37  45  -  19,2,2000000,1,Yes (1),Yes (Single Ticket),117.945,117945,Above Average
72,Below Average,12.7,12700000,2573,Wednesday,Weekday (Wed),19-Aug-20,21  22  32  36  45  50  -  5,2,2000000,0,No,No,52.371,52371,Below Average
73,Below Average,12.7,12700000,2579,Wednesday,Weekday (Wed),09-Sep-20,11  13  33  48  50  56  -  55,2,2000000,0,No,No,55.879,55879,Below Average
74,Below Average,12.7,12700000,2597,Wednesday,Weekday (Wed),11-Nov-20,6  36  46  49  50  59  -  38,2,2000000,0,No,No,50.101,50101,Below Average
75,Below Average,12.7,12700000,2603,Wednesday,Weekday (Wed),02-Dec-20,16  22  26  38  39  47  -  48,2,2000000,0,No,No,71.975,71975,Below Average
76,Below Average,12.716286,12716286,2389,Wednesday,Weekday (Wed),14-Nov-18,4  11  20  45  48  53  -  16,1.928401,1928401,0,No,No,63.86,63860,Below Average
