Draw Number,Sales for,Draw Day,Time,Balls,Jackpot Size (m),Jackpot Size,Draw Sales (m),Draw Sales,Sales Above or Below Average,Jackpot Winners,Jackpot Won (with num),Total Winners,Total Winners (thousands),Number of Winners Above or Below Average
2604,Saturdays,Saturday,05-Dec-20,13  38  47  51  52  59  -  18,4.109513,4109513,21.54763,21547630,Above,0,No,76883,76.883,Below
2603,Wednesdays,Wednesday,02-Dec-20,16  22  26  38  39  47  -  48,2,2000000,12.7,12700000,Below,0,No,71975,71.975,Below
2602,Saturdays,Saturday,28-Nov-20,9  27  35  45  46  57  -  32,12.032594,12032594,28.309662,28309662,Above,0,No,141104,141.104,Above
2601,Wednesdays,Wednesday,25-Nov-20,11  18  30  33  44  55  -  48,9.261078,9261078,15.50568,15505680,Below,0,No,92095,92.095,Below
2600,Saturdays,Saturday,21-Nov-20,23  32  37  49  54  57  -  47,7.743072,7743072,23.125556,23125556,Above,0,No,90822,90.822,Below
2599,Wednesdays,Wednesday,18-Nov-20,18  26  27  28  41  54  -  45,5.47908,5479080,13.791226,13791226,Below,0,No,67685,67.685,Below
2598,Saturdays,Saturday,14-Nov-20,25  37  39  44  50  56  -  13,4.128919,4128919,21.745852,21745852,Above,0,No,83211,83.211,Below
2597,Wednesdays,Wednesday,11-Nov-20,6  36  46  49  50  59  -  38,2,2000000,12.7,12700000,Below,0,No,50101,50.101,Below
2596,Saturdays,Saturday,07-Nov-20,3  33  45  50  52  56  -  44,20,20000000,24,24000000,Above,0,No,127952,127.952,Above
2595,Wednesdays,Wednesday,04-Nov-20,10  20  28  32  35  50  -  24,12.98018,12980180,20.246118,20246118,Above,0,No,99377,99.377,Below
2594,Saturdays,Saturday,31-Oct-20,1  6  16  34  49  59  -  35,10.998085,10998085,23.55378,23553780,Above,0,No,115890,115.89,Above
2593,Wednesdays,Wednesday,28-Oct-20,11  18  27  38  47  59  -  14,8.69217,8692170,14.682492,14682492,Below,0,No,81485,81.485,Below
2592,Saturdays,Saturday,24-Oct-20,13  18  19  47  53  57  -  44,7.254754,7254754,22.014014,22014014,Above,0,No,90598,90.598,Below
2591,Wednesdays,Wednesday,21-Oct-20,9  12  27  28  29  44  -  8,5.099582,5099582,13.274586,13274586,Below,0,No,117821,117.821,Above
2590,Saturdays,Saturday,17-Oct-20,26  32  38  41  49  51  -  46,3.8,3800000,21,21000000,Above,0,No,84173,84.173,Below
2589,Wednesdays,Wednesday,14-Oct-20,9  12  28  31  46  50  -  10,8.996243,8996243,14.720246,14720246,Below,1,Yes (1),83239,83.239,Below
2588,Saturdays,Saturday,10-Oct-20,11  21  36  45  49  56  -  2,7.555131,7555131,22.034944,22034944,Above,0,No,103731,103.731,Above
2587,Wednesdays,Wednesday,07-Oct-20,12  18  37  52  56  58  -  53,5.39791,5397910,13.943534,13943534,Below,0,No,51571,51.571,Below
