Ball,Total Number of Appearances,Appearances on Jackpot Winning Tickets,Ball Group/Colour
1,50,12,1 - 9 (White)
2,55,15,1 - 9 (White)
3,49,15,1 - 9 (White)
4,54,9,1 - 9 (White)
5,51,10,1 - 9 (White)
6,44,5,1 - 9 (White)
7,52,8,1 - 9 (White)
8,66,9,1 - 9 (White)
9,47,9,1 - 9 (White)
10,55,11,10 -19 (Blue)
11,63,10,10 -19 (Blue)
12,47,7,10 -19 (Blue)
13,48,8,10 -19 (Blue)
14,56,9,10 -19 (Blue)
15,44,10,10 -19 (Blue)
16,53,11,10 -19 (Blue)
17,50,12,10 -19 (Blue)
18,53,2,10 -19 (Blue)
19,59,12,10 -19 (Blue)
20,57,11,20 - 29 (Pink)
21,44,8,20 - 29 (Pink)
22,53,5,20 - 29 (Pink)
23,55,8,20 - 29 (Pink)
24,43,5,20 - 29 (Pink)
25,55,9,20 - 29 (Pink)
26,56,8,20 - 29 (Pink)
27,60,13,20 - 29 (Pink)
28,47,9,20 - 29 (Pink)
29,57,5,20 - 29 (Pink)
30,50,6,30 - 39 (Green)
31,57,15,30 - 39 (Green)
32,58,9,30 - 39 (Green)
33,45,10,30 - 39 (Green)
34,57,5,30 - 39 (Green)
35,60,6,30 - 39 (Green)
36,59,9,30 - 39 (Green)
37,60,10,30 - 39 (Green)
38,58,7,30 - 39 (Green)
39,57,9,30 - 39 (Green)
40,59,4,40 - 49 (Yellow)
41,60,6,40 - 49 (Yellow)
42,63,11,40 - 49 (Yellow)
43,51,12,40 - 49 (Yellow)
44,50,7,40 - 49 (Yellow)
45,62,7,40 - 49 (Yellow)
46,59,9,40 - 49 (Yellow)
47,62,6,40 - 49 (Yellow)
48,41,5,40 - 49 (Yellow)
49,55,8,40 - 49 (Yellow)
50,49,5,50 - 59 (Purple)
51,55,6,50 - 59 (Purple)
52,69,8,50 - 59 (Purple)
53,48,5,50 - 59 (Purple)
54,68,9,50 - 59 (Purple)
55,64,8,50 - 59 (Purple)
56,57,5,50 - 59 (Purple)
57,49,6,50 - 59 (Purple)
58,67,4,50 - 59 (Purple)
59,56,10,50 - 59 (Purple)
